,0
num_single,50.0
num_double,24.0
num_triple,10.0
aromatic_bonds,85.0
num_fluorine,28.0
num_chlorine,12.0
num_bromine,8.0
num_nitro,16.0
num_oxy,16.0
num_sulfur,12.0
unique_colors,78.0
peoe_0,75.86261767924961
peoe_1,40.44530315231261
peoe_2,122.93162133489498
peoe_3,49.016062041918396
peoe_4,136.04143053521688
peoe_5,254.1171199199478
peoe_6,362.0958823897829
peoe_7,101.30631510753578
peoe_8,91.28554897904087
peoe_9,73.40671785033967
peoe_10,139.61330018510148
peoe_11,36.58393194533527
peoe_12,34.90717666701017
peoe_13,306.0689387168894
mqns_13,117.0
tpsa,379.23
unspecified_stero,14.0
sat_rings,5.0
sat_het,4.0
sat_carbo,5.0
rotable_bonds,22.0
num_rings,41.0
lipinski_hba,21.0
lipinski_hbd,15.0
hetero,14.0
hetero_atoms,31.0
h_accept,20.0
donate_h,15.0
bridge_head,18.0
stereo,14.0
aromatic_rings,28.0
hetero_aromatic,14.0
carbo_aromatic,28.0
num_amide,8.0
ala_rings,29.0
alaphatic_hetero,11.0
alaphatic_carbo,29.0
labuta_asa,434.47873401851746
kappa1,51.51298744843928
kappa2,21.733978276177012
kappa3,11.965540716115534
criippen_0,17.803600000000007
criippen_1,292.798
c_sp3,0.8181818181818182
hall_kier,2.54
chi0n,40.082903768654745
chi0v,42.88304599452111
chi1n,30.874355652982103
chi1v,40.370656471449685
chi2n,31.69849960776056
chi2v,61.161720346947654
chi3n,32.558541947401274
chi3v,120.8641240674456
chi4n,33.430666113235446
chi4v,242.5062447793024
auto_2d_0,5.671
auto_2d_1,5.913
auto_2d_2,6.499
auto_2d_3,6.615
auto_2d_4,6.467
auto_2d_5,6.8
auto_2d_6,6.924
auto_2d_7,6.597
auto_2d_8,4.771
auto_2d_9,5.46
auto_2d_10,5.775
auto_2d_11,6.014
auto_2d_12,6.078
auto_2d_13,6.131
auto_2d_14,6.035
auto_2d_15,5.775
auto_2d_16,4.771
auto_2d_17,5.46
auto_2d_18,5.775
auto_2d_19,6.014
auto_2d_20,6.078
auto_2d_21,6.131
auto_2d_22,6.086
auto_2d_23,6.201
auto_2d_24,4.771
auto_2d_25,5.46
auto_2d_26,5.775
auto_2d_27,6.014
auto_2d_28,6.078
auto_2d_29,6.131
auto_2d_30,6.035
auto_2d_31,5.775
auto_2d_32,4.771
auto_2d_33,5.46
auto_2d_34,5.775
auto_2d_35,6.014
auto_2d_36,6.078
auto_2d_37,6.131
auto_2d_38,6.138
auto_2d_39,6.263
auto_2d_40,6.54
auto_2d_41,6.998
auto_2d_42,7.841
auto_2d_43,7.945
auto_2d_44,7.885
auto_2d_45,7.958
auto_2d_46,8.363
auto_2d_47,8.689
auto_2d_48,243.443
auto_2d_49,274.391
auto_2d_50,409.401
auto_2d_51,470.706
auto_2d_52,468.514
auto_2d_53,429.674
auto_2d_54,440.321
auto_2d_55,326.394
auto_2d_56,3.785
auto_2d_57,4.755
auto_2d_58,4.663
auto_2d_59,4.853
auto_2d_60,5.402
auto_2d_61,7.11
auto_2d_62,8.987
auto_2d_63,10.135
auto_2d_64,3.008
auto_2d_65,5.09
auto_2d_66,7.717
auto_2d_67,8.031
auto_2d_68,8.94
auto_2d_69,11.766
auto_2d_70,14.873
auto_2d_71,16.774
auto_2d_72,20.453
auto_2d_73,25.697
auto_2d_74,23.031
auto_2d_75,19.755
auto_2d_76,23.197
auto_2d_77,26.478
auto_2d_78,33.469
auto_2d_79,37.746
auto_2d_80,4.361
auto_2d_81,7.381
auto_2d_82,11.191
auto_2d_83,11.646
auto_2d_84,12.964
auto_2d_85,17.062
auto_2d_86,21.567
auto_2d_87,24.322
auto_2d_88,583.956
auto_2d_89,988.234
auto_2d_90,1498.393
auto_2d_91,1559.356
auto_2d_92,1735.826
auto_2d_93,2284.488
auto_2d_94,2887.696
auto_2d_95,3256.679
auto_2d_96,1.0
auto_2d_97,1.0
auto_2d_98,1.0
auto_2d_99,1.0
auto_2d_100,4.495
auto_2d_101,3.5
auto_2d_102,7.0
